Date; Temperature (°C); Level (m); Battery (bit); Battery (%);pH; Conductivity (uS/cm) 
2023-02-27T12:04:39;18.00;64.59;5030;100.00;7.55;272.70
2023-02-27T12:05:02;18.00;63.93;5030;100.00;7.55;272.90
2023-02-27T12:05:34;18.00;57.30;5028;100.00;7.55;274.00
2023-02-27T12:08:57;18.06;58.46;5042;100.00;7.56;275.40
2023-02-27T12:09:22;18.12;52.79;5024;100.00;7.60;275.80
2023-02-27T12:11:48;18.12;65.50;5024;100.00;7.58;274.80
2023-02-27T12:14:06;18.19;55.31;5024;100.00;7.61;276.60
2023-02-27T12:16:24;18.31;54.86;5030;100.00;7.56;277.30
2023-02-27T12:18:41;18.37;57.76;5024;100.00;7.57;276.20
2023-02-27T12:20:57;18.44;66.08;5022;100.00;7.57;278.60
2023-02-27T12:23:26;18.56;65.46;5024;100.00;7.13;190.90
